"thread_id","thread_date","author_id","thread_title","thread_body"
15356,"2025-06-03 01:46:10.792896+00",1051,"Internal Regulations Of Order, Hygiene and Safety (“RIOHS”) in Chile","I know this is a major longshot, but has anyone who has an entity in Chile put a RIOHS in place which governs mandatory workplace regulations. My local counsel (Baker) sent me a 140 page RIOHS and it seems superfluous and more suited towards their traditional workforce (mining, ag, manufacturing), as opposed to a tech company. A modified version I proposed is outdated, so I'm wondering if anyone has a recent RIOHS that I can look at and compare to my version.  My expectations that anyone has a template are pretty low, but figured I would ask. "
15360,"2025-06-03 15:39:34.232304+00",791,"FP&A Software Recommendations","My finance / accounting team is vetting FP&A software for a Microsoft-based shop in the manufacturing industry. Although this isn't legal focused, does anyone have any recommendations for FP&A software (perhaps you have heard how much your finance / accounting team loves a particular solution)? Bonus points if it integrates well with a manufacturing operation. "
15361,"2025-06-03 15:47:54.194309+00",6259,"Job Description For An Infosec Role?","We are considering bringing on an individual who specializes in information security/privacy to handle communications with customers around our security processes and so on, and respond to security questionnaires in a way that expresses our positions in a way that is true to our infrastructure but also in ""legalese.""      Notable, this would not be a lawyer/counsel role, but would roll up to legal. I'm trying to find an example of a similar role or job description we can use to move forward. "
15362,"2025-06-03 16:00:10.824931+00",1416,"Feedback On Insurance Broker - CAC Group","Anyone here has any experience with CAC Group as their primary insurance broker? "
15363,"2025-06-03 16:09:49.894135+00",8739,"Ohio Regional Income Tax Agency (RITA)","Have others with employees in Ohio received ""unpaid municipal income tax balance"" notices from Ohio Regional Income Tax Agency (RITA)? We're trying to evaluate if this is a scam or legitimate. The paper notice we received feels less than legitimate. "
15364,"2025-06-03 16:21:20.276973+00",10416,"Referral To Outside Counsel For AZ State Procurement Matter","Thanks for any referrals for an attorney who can advise a software company on a contract termination by an agency of the state of Arizona. I'll provide all referrals to the company and they'll follow up as they determine. "
15365,"2025-06-03 19:25:48.275839+00",3012,"Recruiter In SF","I'd appreciate recommendations for a recruiter in San Francisco who can help with our search for a senior commercial counsel in the tech/cybersecurity space. Thanks in advance. "
15366,"2025-06-03 19:36:10.087467+00",1511,"Offshore Contracts And Operations","I'm looking for ways to reduce our spend and considering offshore resources for commercial contracts and for legal operations. Has anyone found a company that offers these services. Also, a long those lines what should I consider when thinking of the timing and maturity (readiness) of the company? "
15368,"2025-06-03 19:37:58.861464+00",460,"Carta API","Has anyone had any luck getting an API key from Carta? We've asked several times (for over a year), and haven't received one from them.   For context in case anyone has other ideas, we have a parent company and multiple subsidiaries where an employee can receive options at both levels. I need a way to quickly know where and how much equity an employee has across subs. Right now, I need to go into each Carta account and do a search of that employee. With the Carta API, I should be able to build something where I can lookup an employee and have it return their equity across all entities, but I can't figure out how to do it without an API. "
15371,"2025-06-03 22:39:54.54509+00",1689,"ChatGPT Enterprise / Perplexity Pro – Curious if Anyone Has Negotiated the Agreement","For those of you using ChatGPT Enterprise or Perplexity Pro, I'm curious--did you negotiate the agreement, or just take it off the shelf? "
15373,"2025-06-04 09:58:23.464779+00",2498,"Grant Funding","I'm interested to know if anyone has experience researching government grants or grant funding from charities primarily for UK, US and/or Swiss companies? I'm particularly interested in what is available for biotech companies, but any knowledge sharing in any of these jurisdictions would be helpful. I am wondering whether there are any sources that might list the available funding as the information seems very piecemeal to me at the moment! Thanks in advance for your insights. "
15373,"2025-06-04 09:58:23.464779+00",2498,"Grant Funding","I'm interested to know if anyone has experience researching government grants or grant funding from charities primarily for UK, US and/or Swiss companies? I'm particularly interested in what is available for biotech companies, but any knowledge sharing in any of these jurisdictions would be helpful. I am wondering whether there are any sources that might list the available funding as the information seems very piecemeal to me at the moment! Thanks in advance for your insights. "
15374,"2025-06-04 14:04:32.265131+00",21354,"UX/Legal Presentation","Following the UX CLE yesterday, does anyone have a presentation on UX issues for the product team (dark patterns, cancellation, etc.)? Would love a starting point. "
15376,"2025-06-04 14:42:41.409548+00",25976,"Patent Attorney To Review Possible Infringement Of Issued Patent","I'm looking for a patent attorney to help me review a possible infringement matter as it relates to one of our company's issued patents. Looking for someone who is practical and will help identify any blindspots and weaknesses in what I'm seeing with my untrained eyes. "
15377,"2025-06-04 15:24:17.891065+00",6294,"New Zealand Attorney For Debt Collection/Liquidation Questions","I need an attorney in New Zealand that can help me with collecting a debt or securing a lien on inventory with one of our distributors. Any recommendations? "
15378,"2025-06-04 15:57:02.581077+00",30256,"OSINT Services","We are looking at OSINT services with a focus on corporate ownership, investment and relationships in China. Currently, we are specifically looking at WireScreen.ai, and would appreciate any recommendations or insights anyone might have. "
15378,"2025-06-04 15:57:02.581077+00",30256,"OSINT Services","We are looking at OSINT services with a focus on corporate ownership, investment and relationships in China. Currently, we are specifically looking at WireScreen.ai, and would appreciate any recommendations or insights anyone might have. "
15379,"2025-06-04 15:58:12.192892+00",614,"Outsourced SaaS Commercial Contracting Recommendation","I'm looking for outsourced US commercial contract support for SaaS/software agreements, experienced in:   * engaging with in-house business   * negotiating and riving to close   * familiar with data privacy and AI terms   Do you have individual, Lawtrades/Axiom or fractional GC recommendations (like Outside GC)? Exploring all, and grateful for intros to people. "
15379,"2025-06-04 15:58:12.192892+00",614,"Outsourced SaaS Commercial Contracting Recommendation","I'm looking for outsourced US commercial contract support for SaaS/software agreements, experienced in:   * engaging with in-house business   * negotiating and riving to close   * familiar with data privacy and AI terms   Do you have individual, Lawtrades/Axiom or fractional GC recommendations (like Outside GC)? Exploring all, and grateful for intros to people. "
15380,"2025-06-04 16:07:27.059903+00",31749,"Operating In Lithuania?","Does anyone have experience with operating in Lithuania? We have a small development team located there that we inherited through acquisition and would appreciate some perspective from others who have operated in country.  "
15381,"2025-06-04 16:10:39.966938+00",4937,"Giving Out 409a","Whats's people's position on giving out your 409a to investors who don't have entrenched information rights? "
15383,"2025-06-04 16:33:26.43042+00",1700,"Experience With Enforcement Of Judgements In China","I would love to chat with anyone who has successfully enforced a judgment for damages in China. We have obtained a favorable judgement from the competent Chinese court for damages in a patent litigation dispute but have been unable to enforce the judgement. It seems that the defendant has shut down the company and opened a new company with a different name at a different location to avoid paying damages and continues to infringe our patents. Curious to hear if anyone has faced similar challenges in China and has been able to overcome it. "
15384,"2025-06-04 16:35:26.513806+00",19078,"Collections Defense In The UK","Hoping that someone in the braintrust can help. We need to hire local UK (London) counsel to potentially defend against a collections matter. In fact, it's highly likely we would file a counter-claim for malicious prosecution. Any recommendations for a firm that can handle this would be greatly appreciated. Kudos if it is a small firm, as the matter in question is also very small. "
15386,"2025-06-04 17:26:41.948621+00",2910,"Management Company Ownership, GP Fund Commits","In connection with some internal reorganization, a couple of questions recently came up from our GPs about what other funds are doing:   * Who owns the management company at your fund -- all of the GPs collectively, or some subset of them (and if a subset, how is it determined)? Currently only two of our GPs own the management company, and we're considering changing that.         * What % of the capital commit are you seeing the GPs typically being responsible for in recent fundraises? (We used to do 5%, and at our last fundraise we stepped that down to 3%, but we're considering going even lower for the next fund.)   "
15387,"2025-06-04 18:00:50.518948+00",5553,"Israeli Securities Law Counsel","Does anyone have a recommendation for Isreali securities law counsel? "
15388,"2025-06-04 18:19:57.138637+00",3872,"ContractpodAI","Does anyone have recent experiences with ContractpodAI to share? In particular around Leah/AI. Some of the threads on this are older and the tech changes quickly. Thanks!  "
15389,"2025-06-04 18:57:39.014591+00",985,"B2B Sales Team Compensation Consultants","I'm currently seeking a highly experienced consultant who specializes in designing and optimizing compensation plans for B2B sales teams. We're aiming to ensure our incentive structures drive performance, align with business goals, and attract top sales talent. If you've worked with or know a trusted expert in sales compensation strategy--especially someone familiar with B2B sales environments--I'd greatly appreciate your referrals.      Thank you in advance for your recommendations! "
15391,"2025-06-04 19:13:41.728094+00",674,"Counsel for Brazilian Equity Grants","I'd welcome recommendations for English-speaking counsel who have advised on making equity grants in Brazil. "
15396,"2025-06-04 22:20:50.554281+00",35255,"Streamlining Complex Beta Programs at a SaaS Company","I'm looking for insights on how other teams manage and streamline beta programs, especially in complex SaaS environments. We're a SaaS company that often runs multiple beta programs at once, led by different cross-functional teams. One of our key requirements is that customers must accept our beta terms before participating. This is straightforward for those on our online terms of service, but historically, we didn't embed beta terms into our MSA -- which has led to a lot of manual work. Right now, it's operationally burdensome to track who has accepted the beta terms, since ownership varies by team and there's no standardized intake or tracking process. As our customer base grows, it's becoming increasingly difficult to maintain consistency and compliance.   How did you streamline customer opt-ins and legal acceptance across beta programs?   Did you centralize intake or automate verification?   Any tools, processes, or organizational models that worked well?      Would appreciate any tips or lessons learned. Thanks in advance!   Bhawana "
15397,"2025-06-04 22:52:16.473674+00",23549,"Bay Are small/mid-size firm that negotiate PE?venture/investment agreements?","I'm looking for a recommendation for a good small/mid-sized Bay Area firm to jump in on a negotiation for PE/Venture/Inventment agreements. Any leads much appreciated! "
15398,"2025-06-05 00:28:34.712451+00",540,"Startup Lawyer In Australia?","Can anyone recommend a scrappy, pragmatic, business-minded lawyer or firm in Australia to help us operationalize a new subsidiary there? We're going to need basic support for things like standard forms, basic corporate secretary/governance advice, occasional employment matters, ideally (but nice to have) also competent in commercial contracts and other items such as real estate and construction.      It's a lot, I know, but I thought I'd throw out the full wish list! I'm mostly focused on the ""scrappy, pragmatic, business-minded lawyer"" part and if I need to pull together a panel of folks from one or more firms, no big deal. "
15399,"2025-06-05 09:59:46.22579+00",33593,"Switching From MSA To Order Forms","Our company currently still uses long-form MSAs for commercial contracting. This is causing some friction in the sales cycle, and I think somewhat unnecessary reviews and and redlines by prospects. I am putting together a strategy for moving to an Order Form + online T&Cs format. Has anyone here done something similar for their business? If so, I'm looking for any data (even if just anecdotal) on the impact this may have had, e.g. fewer contracts requiring negotiation / legal review, reduced negotiation cycle by x% etc. The business sells access to carbon market data via a SaaS-type platform, with some pro-serv. "
15400,"2025-06-05 12:07:02.596326+00",6956,"Commercial Litigation Lawyer In Ireland","I have a potential medium-sized dispute in Ireland and would love a recommendation for a reasonably priced commercial litigator. Would be good if the lawyer can be fairly aggressive. The other party will need a serious reality check. "
15401,"2025-06-05 12:17:14.034566+00",35678,"Executive Coaching For Senior In-House Legal Leaders","Curious if anyone has solid executive coach recommendations for senior in-house legal leaders. I'm exploring the option to bring one on in some capacity for our CLO and her directs. Coaching - and what to look for in a coach - is a bit of a blind spot for me, so appreciate any recommendations! "
15402,"2025-06-05 13:27:20.163962+00",52,"Washington State Employment Counsel (Employee Side)","I am looking for some recommendations for an employee-side employment counsel in Washington State who could help a senior employee at a large technology company with some conduct that appears to be age-related discrimination. This would be a pay-out-of-pocket situation so appreciate recommendations for skilled attorneys who might also be somewhat cost effective. "
15403,"2025-06-05 13:50:48.783754+00",1183,"Canadian Resident Director","We need to engage an independent Canadian resident director for our two Canadian subsidiaries. If anyone has any recommendations for vendors that provide this service it would be greatly appreciated. Thank you. "
15405,"2025-06-05 14:56:11.167741+00",846,"Collections Agency In Phoenix AZ?","I have a simple breach of contract claim I'd like to file in AZ but it is only a few thousand dollars, and the defendant has a couple of default judgments against him already. Any suggestions for collections? "
15406,"2025-06-05 15:10:23.529307+00",34953,"Insurance - Anti Rebate Laws","Hi, any chance you have an overview or some kind of table summarizing the US anti rebate laws? "
15407,"2025-06-05 15:13:16.948204+00",34161,"Matter Tracking/Management","Curious as to what people are using to track matters internally. We have SimpleLegal for eBilling but find it does not have the matter management capabilities and workflows/task management that is needed, so we have developed a centralized Smartsheet with dynamic views and automation for customer disputes, litigations, employment claims, and other HR/customer matters. It is working OK, but think we are nearing a point where we need to look for a more robust curated solution. Would love any recommendations! "
15408,"2025-06-05 15:18:32.127001+00",5068,"ISO A Civil Rights Attorney In MA","Hi, all. My colleague is looking for a civil rights attorney, ideally admitted in Massachusetts. I would appreciate any referrals. Thanks! "
15409,"2025-06-05 16:25:08.474791+00",36664,"Litigation/Settlement Authority Guidelines","Hello all - I'm new to the LSuite and thrilled to be here with all of you. Does anyone have a policy or guardrails re: settlement authority as the GC they are willing to share. "
15410,"2025-06-05 17:12:50.443804+00",15303,"Cost Effective SLED Counsel","We need some assistance with both the NASPO and TX-DIR contracts (working through a reseller/prime) and to round things out, a direct contract with the State of Oregon--because sales didn't tell us they bid direct and of course, we won the bid.         If anyone has cost-effective SLED counsel they have worked with in the past, I would appreciate the recommendation! "
15411,"2025-06-05 17:13:15.405584+00",11774,"Negotiating With Microsoft (Hosting on Zzure/Listing on marketplace)","Does anyone here have experience working with Microsoft on listing in their marketplace and would any of you be willing to chat with me about some of the levers they will negotiate across the different touch points with them. We are also a large Microsoft enterprise customer and so far we've been working on all of those things separately. My spidey sense is that we should be looking at this holistically and leveraging our existing spend to get more favorable hosting/marketplace terms (like a lower threshold to hit MACC, for example). "
15412,"2025-06-05 18:10:13.26069+00",32231,"Org Charts","Very basic question but does anyone have an app or something they've liked using for putting together org charts? Currently just use PPT but thought I'd check if anything better out there. Thanks! "
15413,"2025-06-05 20:07:47.992478+00",3948,"TCPA Counsel","Hi all. Does anyone have experience with any of the below firms for TCPA disputes?   * Cozen O'Connor   * Gordon Rees   * O'Hagan & Meyer   If yes, we appreciate any thoughts you're willing to share! "
15414,"2025-06-05 20:15:18.617678+00",2031,"Lobbyist In Portugal","I am in need of a lobbyist (or the equivalent) in Portugal to help resolve a thorny telecommunications issue with ANACOM, the Portuguese telecommunications regulator. Any lobbyist recommendations would be great, even if the person is not telecommunications focused. "
15416,"2025-06-05 22:30:26.645269+00",36185,"Looking For An Inexpensive Commercial/Investments Lawyer (Small Firm/Solo) Based In Los Angeles","I am looking for leads on an inexpensive commercial lawyer in Los Angeles. This is to help structure a simple investment into a startup, with some weird commercial quirks (equity to vest based on hitting various milestones relating to business origination and revenue). Thanks! "
15416,"2025-06-05 22:30:26.645269+00",36185,"Looking For An Inexpensive Commercial/Investments Lawyer (Small Firm/Solo) Based In Los Angeles","I am looking for leads on an inexpensive commercial lawyer in Los Angeles. This is to help structure a simple investment into a startup, with some weird commercial quirks (equity to vest based on hitting various milestones relating to business origination and revenue). Thanks! "
15417,"2025-06-05 23:35:21.035122+00",5101,"Israeli Consumer Class Action?","I'd be grateful to connect with anyone who has experience litigating consumer class action in Israel (in particular looking for referrals/recommendations on firms, but would also love the chance to connect live to ask a few questions). "
15418,"2025-06-06 02:59:20.095168+00",21173,"Calibrating Patent Investments","How do your teams decide what verticals to file patents in? My IPMS (ArcPrime) is recommending addressable market and litigation and has told me these are the most common ones. Looking for a gut check here. "
15420,"2025-06-06 17:26:32.820713+00",4937,"Offsite Icebreakers","I'm going to be running an icebreaker session for a large management team (the team under our exec team) and wondered if anyone had any useful exercises they'd used or seen in these sessions? Looking for it to be creative, not too corporate, but actually useful in terms of driving some business outcome despite it being an opening session. Oh, and fun! "
15422,"2025-06-06 20:11:20.447653+00",8246,"Incorporating Agent/Accounting In Namibia","Anyone have recommendations for local accounts, law firms, or other agents who can support with setting up a subsidiary in Namibia? If so, please send my way! "
15423,"2025-06-06 22:07:45.850711+00",5662,"US Export Compliance","I'm looking to connect with someone from a small to midsize tech company that deals in export controlled hardware and related services who would be willing to share insights into how your team handles day-to-day operations related to export compliance under ITAR and EAR. Thank you! "
15426,"2025-06-07 20:23:07.719717+00",34305,"RFP for E-Discovery Vendor","Does anyone have a sample RFP template they have used for a Managed Services e-discovery vendor? We're looking for an end-to-end provider in the US. "
15427,"2025-06-07 21:53:37.345497+00",1787,"Lightweight Sanctions Screening Tool","Consumer-facing company looking for a cost-effective, lightweight sanctions screening tool to use for all of the vendors who provide services to us (i.e., not such a heavy user as a SaaS company).  Our business is in US, Canada, UK and Western Europe.  I have heard good things about CSI Watchdog and would love feedback from any users, as well as any other recommendations. "
15428,"2025-06-08 22:00:04.377352+00",22906,"Deportation Defense Legal Expenses","As an adjunct to our employee immigration support policy, we're considering offering employees some financial support for their legal counsel if they or an immediate family member is facing imminent deportation. Have any any of your companies considered or established such a benefits policy? Do you have any advice (or a sample policy) you would share with me, please? Thank you. "
15429,"2025-06-08 23:09:25.331948+00",614,"Product Counsel Phone Software And Hardware","I'm looking for product counsel recommendations with strong technical experience in phone hardware and software, with contracting experience if possible. Law firms recommendations and individual product counselors are both great. "
15429,"2025-06-08 23:09:25.331948+00",614,"Product Counsel Phone Software And Hardware","I'm looking for product counsel recommendations with strong technical experience in phone hardware and software, with contracting experience if possible. Law firms recommendations and individual product counselors are both great. "
15430,"2025-06-09 13:32:30.618597+00",34053,"Marcus Evans Trainings","Does anyone have experience with the training events from Marcus Evans Group? I received an invitation for their November Legal Operations Excellence: Elevate Your Department, Empower Your Career event, but have never heard of them. Thank you! "
15431,"2025-06-09 15:05:59.078397+00",24342,"Trust & Estate Referral – Tampa area","Looking for a trust and estate lawyer in the Tampa / St. Pete / Clearwater area. If you have a solid recommendation, please lmk. Thanks! "
15432,"2025-06-10 09:33:04.142306+00",7606,"Software Provider Demanding Declaration Of Compliance","We received some aggressive messages from a software provider alleging that we are using several unlicensed copies of their software (we purchase 2 copies). Our IT team investigated and found no unlicensed copies. The software provider is refusing to provide any evidence to substantiate their allegation, and is now demanding a sweeping declaration from us that there are no breach of the licensing agreement and if a breach is subsequently found, we will be fully responsible etc. There is no obligation under the software agreement/EULA to provide such a declaration. My inclination is to provide a declaration that is far less sweeping, just stating the investigation that was carried out and the result. If anyone has experience in this area, I would be grateful for your thoughts. "
15433,"2025-06-10 09:38:03.596043+00",16298,"Downtime in SaaS Contract SLAs","I was interested to hear how others define the concept of downtime in any uptime commitments you make for a SaaS platform. Do you make a distinction between the platform being completely down versus degraded or partially down or is that all considered ""downtime"" in the same way.  If you do distinguish do the service level commitments for these things differ? "
15434,"2025-06-10 14:03:15.610889+00",30767,"AI / AGI And Force Majeure","Has anyone begun incorporating AI or AGI related terms into their force majeure clauses? For example, has anyone begun carving out AI failures from force majeure events or carving out ""the development of AGI"" from their force majeure events. Broadly responsive answers to this questions are also welcome, as are examples. "
15435,"2025-06-10 14:11:48.498394+00",4119,"ISO42001","Has anyone gone ahead and already got ISO42001 status? If so please DM me as i would love to discuss your experience further. "
15436,"2025-06-10 14:42:49.947034+00",16301,"Amazon Provider Agreement","Has anyone tried negotiating Amazon's standard Provider Agreement? They told us it's ""non-negotiable"" but some of the IP terms are problematic for us. Any advice on attempting to negotiate this type of agreement with Amazon would be much appreciated. Thanks! "
15437,"2025-06-10 14:58:26.71885+00",9772,"Torus Ventures LLC NPE/Patent Troll","Is anyone familiar with the NPE/paten troll Torus Ventures LLC? It looks like they've been active in the Eastern District of Texas with one patent recently.  "
15438,"2025-06-10 15:27:47.030001+00",1694,"UK Insolvency","Does anyone have a good recommendation for counsel who can assist with recouping funds from a UK vendor that has become insolvent and is undergoing a creditors voluntary insolvency? We're a Massachusetts-based company. "
15440,"2025-06-10 16:25:07.179867+00",36639,"Privacy Compliance Consultant","I oversee privacy compliance in our consumer-facing sports streaming business. As the pace of adoption of new privacy legislation, particularly concerning childrens' data, accelerates, I am considering seeking outside help to thoroughly audit our operations for compliance and risk. I am concerned that using a law firm for this purpose may be inefficient. Has anyone engaged a privacy consultant for this use case and been happy with the result? Any recommendations? Thanks! "
15442,"2025-06-10 18:09:41.93047+00",18600,"Self-Funded / Level Funded Insurance Program","Has anyone here transitioned from a fully insured to a level-funded or self-funded insurance program. Looking for some context on the administrative burden of these switches and wonder if anyone can share about their transition. "
15443,"2025-06-10 19:37:02.308796+00",35757,"Has Anyone Used Hyperstart CLM?","I came across a contract lifecycle management tool called Hyperstart CLM, and I was curious if anyone here has experience with it. I'm interested in hearing your thoughts on whether you've evaluated it, used it in your org, or decided against it for any reason. Any feedback on its usability, features, or how it compares to other CLM solutions would be really appreciated! "
15445,"2025-06-10 21:26:33.10802+00",34658,"Interest Check:  Monthly/Bi-Monthly AI In Legal Departments Roundtable","Hello, I'm reaching out to see if there's interest in forming a monthly or bi-monthly group to discuss AI integration. Our Chief Legal Officer is really encouraging us to explore AI, and we've been experimenting with various vendors and tools.  Lately we're focusing on Gemini & Notebook LM but also open to hear what AI tools other legal departments are leveraging.   I'd love to connect with others to share AI use cases, experiences, challenges, and best practices. "
15447,"2025-06-10 23:52:44.027815+00",24286,"Employee Immigration Concerns","Is anyone navigating concerns from employees around civil unrest/ ICE/ immigration concerns. I'm specifically referring to employees that are either green card holders or on a visa sponsorship. Welcome any information you can share on how you're navigating conversations with them, providing accommodations, etc. "
15447,"2025-06-10 23:52:44.027815+00",24286,"Employee Immigration Concerns","Is anyone navigating concerns from employees around civil unrest/ ICE/ immigration concerns. I'm specifically referring to employees that are either green card holders or on a visa sponsorship. Welcome any information you can share on how you're navigating conversations with them, providing accommodations, etc. "
15448,"2025-06-11 02:24:40.920193+00",846,"Skip Tracing East Cost","A friend is divorcing her husband who lived in the NYC Metro area for many years, was last seen in North Carolina and is incognito moving north. She needs to serve him divorce papers. Anyone have a good skip tracing company to track him down? Not making this up! "
15449,"2025-06-11 06:23:01.616692+00",23696,"Employee Peer-Led Groups","Our employee engagement team is looking to establish employee-led interest groups for employees to come together to share in joint interests (think movie lovers, fitness enthusiasts, etc.) outside of the pressure and/or expectations of leadership. Has anyone in the Braintrust been involved in standing something like this up and would be willing to connect briefly? Bonus points if you have a policy document that you would be willing to share on this. "
15450,"2025-06-11 10:24:06.812957+00",26175,"California Software Licensing Program (SLP)","Does anyone have experience contracting with the state of California under their SLP program? For background, we are trying to enter into a relationship with the State, but the terms they are requiring are completely unacceptable to us. As such, we are wondering if there is any way to go through a reseller (eg, Carahsoft) to somehow insulate us from some of the worst of these terms. "
15451,"2025-06-11 13:29:14.159744+00",17219,"Ironclad","Anyone want to share their experiences with Ironclad and/or have a good contact there. "
15454,"2025-06-11 18:26:34.941729+00",5373,"ChatGPT Access To Google Drive","Has anyone here gone through analysis and permitted use of the ChatGPT Teams integration w/ Google Drive (where ChatGPT gets unlimited access to Google Drive)? Would love to read or hear the details of the analysis. "
15455,"2025-06-11 20:07:05.66455+00",34826,"Litigation Management","Any recommendations for a litigation management tool? "
15457,"2025-06-11 22:10:28.676454+00",570,"Referral To Healthcare Services Lawyer, Ideally In Oregon","Can you recommend a good healthcare services/regulatory lawyer, ideally in OR? A friend who runs a successful medical services business needs advice complying with the federal Stark Law, as well as any related Oregon laws. "
15460,"2025-06-11 23:30:13.168194+00",34275,"Has Anyone Used Fulcrum GT Or Apperio For E-Billing/Spend Management?","We know the usual suspects when it comes to ebilling tools, but I'm curious if anyone has used Apperio (now owned by Persuit) or Fulcrum? They've both been around a while but I've never actually met anyone who uses them! If you do, I'd love to hear about your experience! "
